img_name,labels,top,left,bottom,right,width,height,num_digits
10178.png,7.0,4,20,22,29,9,18,1
10179.png,2.0_7.0_1.0_7.0,1,11,13,37,26,12,4
1018.png,5.0,9,1,73,29,28,64,1
10180.png,5.0_7.0,1,39,59,104,65,58,2
10181.png,4.0,5,30,37,50,20,32,1
10182.png,3.0_2.0,5,33,36,62,29,31,2
10183.png,4.0_7.0,22,100,131,176,76,109,2
10184.png,2.0_7.0_10.0_6.0,6,37,44,105,68,38,4
10185.png,2.0_4.0,5,53,73,157,104,68,2
10186.png,2.0,8,26,30,39,13,22,1
10187.png,7.0,10,82,102,125,43,92,1
10188.png,1.0,8,43,51,57,14,43,1
10189.png,1.0_9.0_7.0,12,58,67,108,50,55,3
1019.png,3.0_8.0,8,35,36,56,21,28,2
10190.png,3.0_10.0,7,43,55,98,55,48,2
10191.png,7.0,14,64,78,101,37,64,1
10192.png,2.0_1.0_10.0_7.0,1,21,22,69,48,21,4
10193.png,1.0_10.0_10.0,4,26,32,70,44,28,3
10194.png,1.0,6,30,29,38,8,23,1
10195.png,8.0_5.0,66,109,125,181,72,59,2
10196.png,3.0,2,19,20,30,11,18,1
10197.png,1.0_4.0_8.0,7,40,39,81,41,32,3
10198.png,3.0_9.0,3,28,31,53,25,28,2
10199.png,4.0_5.0_10.0,14,106,49,147,41,35,3
102.png,3.0_5.0,9,58,65,93,35,56,2
1020.png,2.0_9.0,4,30,35,67,37,31,2
10200.png,1.0_10.0,3,27,25,42,15,22,2
10201.png,9.0_6.0,11,37,30,62,25,19,2
10202.png,2.0_9.0,1,12,13,24,12,12,2
10203.png,1.0_10.0_6.0_6.0,14,63,64,171,108,50,4
10204.png,1.0_9.0,9,43,52,86,43,43,2
10205.png,1.0_5.0_7.0,10,37,39,68,31,29,3
10206.png,4.0_7.0_6.0,20,103,88,189,86,68,3
10207.png,6.0_6.0,13,59,70,124,65,57,2
10208.png,4.0_10.0_8.0,14,53,50,106,53,36,3
10209.png,3.0_10.0,13,45,42,68,23,29,2
1021.png,2.0_3.0,4,17,24,36,19,20,2
10210.png,2.0_5.0_6.0,21,76,50,104,28,29,3
10211.png,7.0,25,80,73,111,31,48,1
10212.png,1.0_2.0_9.0,13,65,63,133,68,50,3
10213.png,7.0_2.0,33,66,67,100,34,34,2
10214.png,1.0_3.0_7.0,2,30,41,76,46,39,3
10215.png,1.0_5.0,2,28,33,55,27,31,2
10216.png,5.0_5.0_10.0,34,174,117,272,98,83,3
10217.png,4.0_10.0,10,36,35,61,25,25,2
10218.png,1.0_5.0_10.0,2,30,36,64,34,34,3
10219.png,3.0_9.0,4,27,33,56,29,29,2
1022.png,2.0_2.0_10.0,3,32,36,70,38,33,3
10220.png,3.0_5.0,3,38,49,91,53,46,2
10221.png,5.0_6.0,3,61,71,113,52,68,2
10222.png,4.0,4,29,24,39,10,20,1
10223.png,7.0_5.0,1,21,25,42,21,24,2
10224.png,6.0,10,41,49,55,14,39,1
10225.png,1.0_6.0,5,35,41,58,23,36,2
10226.png,1.0_10.0,2,35,46,64,29,44,2
10227.png,2.0_9.0,3,30,34,58,28,31,2
10228.png,3.0_5.0_1.0,8,42,36,80,38,28,3
10229.png,2.0_2.0_9.0,7,37,35,71,34,28,3
1023.png,6.0_6.0,12,47,42,82,35,30,2
10230.png,1.0_10.0_7.0,7,31,28,56,25,21,3
10231.png,2.0_9.0,12,74,90,135,61,78,2
10232.png,7.0_4.0_3.0,7,74,45,139,65,38,3
10233.png,1.0_5.0,7,41,49,78,37,42,2
10234.png,5.0_10.0,1,30,36,58,28,35,2
10235.png,3.0_10.0,7,36,32,59,23,25,2
10236.png,6.0,6,36,30,45,9,24,1
10237.png,1.0_1.0,6,45,54,86,41,48,2
10238.png,7.0_5.0,3,37,50,91,54,47,2
10239.png,3.0,18,43,42,54,11,24,1
1024.png,1.0_10.0,8,58,71,121,63,63,2
10240.png,2.0_3.0_10.0_5.0,89,82,145,171,89,56,4
10241.png,2.0_9.0,20,87,98,159,72,78,2
10242.png,2.0_5.0_3.0,8,52,40,94,42,32,3
10243.png,2.0_7.0,8,42,38,64,22,30,2
10244.png,1.0_7.0,9,37,49,61,24,40,2
10245.png,5.0_1.0_1.0,3,32,35,75,43,32,3
10246.png,3.0_4.0,4,37,63,99,62,59,2
10247.png,2.0_2.0_3.0,16,73,82,174,101,66,3
10248.png,3.0_4.0_8.0,6,31,25,57,26,19,3
10249.png,5.0_7.0,6,26,34,52,26,28,2
1025.png,3.0,6,37,37,57,20,31,1
10250.png,2.0_4.0_3.0_5.0,2,16,17,49,33,15,4
10251.png,7.0,7,38,38,56,18,31,1
10252.png,1.0_7.0_8.0,9,108,86,182,74,77,3
10253.png,2.0_4.0,2,21,18,35,14,16,2
10254.png,3.0_2.0_1.0,10,37,44,90,53,34,3
10255.png,1.0_6.0,6,36,47,65,29,41,2
10256.png,1.0_7.0,6,35,36,58,23,30,2
10257.png,2.0_4.0_9.0,5,33,37,76,43,32,3
10258.png,1.0_4.0_8.0,18,205,99,307,102,81,3
10259.png,5.0,9,23,21,30,7,12,1
1026.png,1.0_1.0,9,52,63,91,39,54,2
10260.png,4.0_10.0,5,37,46,75,38,41,2
10261.png,1.0_1.0,34,69,54,90,21,20,2
10262.png,2.0_5.0,8,23,24,38,15,16,2
10263.png,3.0_4.0_2.0_1.0,2,28,38,117,89,36,4
10264.png,7.0_1.0,8,51,62,86,35,54,2
10265.png,9.0_10.0_8.0,29,58,61,95,37,32,3
10266.png,2.0_9.0_5.0,7,103,35,156,53,28,3
10267.png,4.0,8,44,45,66,22,37,1
10268.png,4.0_4.0,1,13,17,28,15,16,2
10269.png,8.0_9.0,17,50,58,94,44,41,2
1027.png,9.0_7.0_3.0,14,52,77,106,54,63,3
10270.png,8.0_9.0,9,43,51,79,36,42,2
10271.png,2.0_3.0,15,92,107,221,129,92,2
10272.png,1.0_9.0_10.0,11,98,117,235,137,106,3
10273.png,4.0_5.0,1,16,19,30,14,18,2
10274.png,1.0_10.0,6,35,37,67,32,31,2
10275.png,8.0_8.0,86,169,121,207,38,35,2
10276.png,6.0_4.0,8,36,43,83,47,35,2
10277.png,5.0_2.0,10,56,49,92,36,39,2
10278.png,7.0_2.0,1,23,22,40,17,21,2
10279.png,7.0_9.0,2,14,14,26,12,12,2
1028.png,2.0_8.0,6,21,29,42,21,23,2
10280.png,2.0_1.0_10.0,1,14,18,37,23,17,3
10281.png,9.0,8,38,29,55,17,21,1
10282.png,2.0_4.0_8.0,17,63,68,150,87,51,3
10283.png,4.0_10.0,1,22,23,40,18,22,2
10284.png,10.0,1,26,20,35,9,19,1
10285.png,3.0_1.0,10,36,38,83,47,28,2
10286.png,2.0_4.0_3.0_10.0,10,0,44,72,72,34,4
10287.png,4.0_8.0_2.0_5.0,5,31,28,61,30,23,4
10288.png,8.0_7.0_5.0,11,71,41,107,36,30,3
10289.png,2.0_8.0,2,17,20,42,25,18,2
1029.png,3.0_1.0_2.0,27,116,58,164,48,31,3
10290.png,1.0_5.0_9.0,19,17,109,75,58,90,3
10291.png,2.0_2.0,4,20,31,44,24,27,2
10292.png,5.0_3.0,5,37,63,107,70,58,2
10293.png,5.0_7.0,9,49,61,98,49,52,2
10294.png,6.0_1.0,11,43,41,71,28,30,2
10295.png,1.0_2.0_9.0,5,22,29,51,29,24,3
10296.png,1.0_2.0_6.0,6,23,26,44,21,20,3
10297.png,6.0_2.0,4,74,98,174,100,94,2
10298.png,2.0,72,88,116,130,42,44,1
10299.png,7.0_10.0_10.0,35,82,69,163,81,34,3
103.png,7.0,2,54,30,74,20,28,1
1030.png,1.0_10.0_7.0,15,49,35,80,31,20,3
10300.png,3.0_8.0,6,32,40,65,33,34,2
10301.png,2.0_7.0,20,86,78,164,78,58,2
10302.png,2.0_8.0,7,47,59,109,62,52,2
10303.png,2.0_7.0_4.0,1,28,44,96,68,43,3
10304.png,1.0_6.0_6.0,3,23,25,53,30,22,3
10305.png,8.0_4.0,11,72,40,103,31,29,2
10306.png,4.0_6.0,9,63,72,108,45,63,2
10307.png,2.0_4.0,5,25,29,48,23,24,2
10308.png,1.0_1.0_1.0,10,50,69,93,43,59,3
10309.png,2.0_4.0_10.0,14,48,40,84,36,26,3
1031.png,1.0_10.0_1.0,4,56,58,130,74,54,3
10310.png,1.0_1.0_2.0,2,15,17,32,17,15,3
10311.png,9.0_8.0,14,51,54,77,26,40,2
10312.png,1.0_6.0,1,18,24,31,13,23,2
10313.png,9.0_10.0_2.0,23,73,53,119,46,30,3
10314.png,1.0_10.0,10,61,42,87,26,32,2
10315.png,2.0_10.0_9.0,6,36,48,78,42,42,3
10316.png,2.0_3.0,9,31,31,57,26,22,2
10317.png,4.0_9.0,5,32,37,63,31,32,2
10318.png,2.0_1.0,5,28,32,44,16,27,2
10319.png,1.0_9.0,7,29,32,54,25,25,2
1032.png,1.0_10.0_3.0,1,24,26,60,36,25,3
10320.png,6.0_4.0,5,31,33,63,32,28,2
10321.png,4.0_10.0,7,52,47,89,37,40,2
10322.png,2.0_4.0,2,26,29,52,26,27,2
10323.png,5.0,2,22,26,37,15,24,1
10324.png,1.0_2.0,2,26,24,45,19,22,2
10325.png,5.0_2.0,8,34,37,63,29,29,2
10326.png,1.0_4.0_10.0,18,81,57,121,40,39,3
10327.png,1.0_5.0_8.0,9,50,77,131,81,68,3
10328.png,2.0_4.0,2,25,29,51,26,27,2
10329.png,3.0_2.0,5,61,81,159,98,76,2
1033.png,1.0_9.0,6,39,42,69,30,36,2
10330.png,1.0_10.0_5.0,7,47,57,91,44,50,3
10331.png,5.0_6.0,11,74,93,128,54,82,2
10332.png,1.0_10.0,14,36,34,53,17,20,2
10333.png,2.0_3.0,8,0,41,19,19,33,2
10334.png,1.0_9.0,3,20,20,30,10,17,2
10335.png,3.0_1.0,15,66,84,126,60,69,2
10336.png,2.0_5.0_6.0,16,83,100,168,85,84,3
10337.png,3.0_8.0,15,104,131,192,88,116,2
10338.png,7.0_6.0,2,19,30,55,36,28,2
10339.png,3.0_6.0,15,62,71,125,63,56,2
1034.png,5.0,19,84,93,127,43,74,1
10340.png,3.0_2.0,5,46,57,98,52,52,2
10341.png,2.0_8.0,2,26,28,40,14,26,2
10342.png,2.0_6.0_1.0_10.0,8,46,48,124,78,40,4
10343.png,3.0_7.0,4,28,27,51,23,23,2
10344.png,9.0,8,105,84,151,46,76,1
10345.png,1.0_10.0_4.0,44,129,86,184,55,42,3
10346.png,4.0_7.0,23,38,65,73,35,42,2
10347.png,1.0_8.0,13,60,66,109,49,53,2
10348.png,6.0_5.0,3,25,31,48,23,28,2
10349.png,1.0_5.0,5,37,42,68,31,37,2
1035.png,1.0_7.0_10.0,2,27,34,61,34,32,3
10350.png,1.0_5.0_9.0,14,36,31,61,25,17,3
10351.png,5.0,16,68,75,93,25,59,1
10352.png,5.0,7,27,27,39,12,20,1
10353.png,8.0_5.0,5,24,25,55,31,20,2
10354.png,5.0,1,27,31,52,25,30,1
10355.png,1.0_8.0,3,18,15,31,13,12,2
10356.png,1.0_2.0,6,33,40,61,28,34,2
10357.png,5.0_5.0,6,67,49,112,45,43,2
10358.png,5.0_8.0,6,32,39,58,26,33,2
10359.png,8.0_7.0,19,66,61,103,37,42,2
1036.png,1.0_1.0,7,37,43,65,28,36,2
10360.png,2.0_7.0_6.0,13,112,126,245,133,113,3
10361.png,4.0,20,105,88,145,40,68,1
10362.png,1.0_4.0_7.0,15,58,61,92,34,46,3
10363.png,2.0_7.0_8.0,8,51,51,104,53,43,3
10364.png,3.0_7.0_4.0,9,51,64,180,129,55,3
10365.png,2.0_9.0,1,14,18,33,19,17,2
10366.png,4.0,5,24,21,33,9,16,1
10367.png,1.0_6.0,9,86,102,162,76,93,2
10368.png,1.0_3.0_9.0,11,84,69,132,48,58,3
10369.png,5.0_4.0,8,38,39,61,23,31,2
1037.png,7.0_1.0,9,53,42,76,23,33,2
10370.png,7.0_1.0,13,57,52,89,32,39,2
10371.png,2.0_3.0_1.0_8.0,1,14,21,50,36,20,4
10372.png,2.0_6.0,4,21,26,38,17,22,2
10373.png,3.0_1.0_8.0,3,23,26,48,25,23,3
10374.png,1.0_9.0_6.0_9.0,1,44,66,165,121,65,4
10375.png,4.0,1,25,30,47,22,29,1
10376.png,8.0_9.0,6,36,45,71,35,39,2
10377.png,1.0_2.0,6,41,38,64,23,32,2
10378.png,4.0_1.0,1,26,31,45,19,30,2
10379.png,5.0_8.0,1,19,30,45,26,29,2
1038.png,2.0_5.0,7,35,38,56,21,31,2
10380.png,8.0_3.0,6,59,81,145,86,75,2
10381.png,2.0_9.0,5,31,36,58,27,31,2
10382.png,8.0_2.0_3.0,47,90,74,131,41,27,3
10383.png,3.0_7.0,1,19,25,43,24,24,2
10384.png,3.0_5.0,12,60,63,103,43,51,2
10385.png,1.0_2.0,3,25,26,41,16,23,2
10386.png,1.0_3.0_8.0,5,84,68,144,60,63,3
10387.png,3.0_1.0,4,23,27,45,22,23,2
10388.png,1.0_10.0_6.0,2,30,30,53,23,28,3
10389.png,4.0,9,44,42,64,20,33,1
1039.png,1.0_2.0_4.0,1,26,30,52,26,29,3
10390.png,6.0_7.0,5,41,52,90,49,47,2
10391.png,5.0_2.0_5.0,3,24,30,54,30,27,3
10392.png,1.0_1.0_4.0,7,25,31,56,31,24,3
10393.png,2.0_6.0,3,27,37,52,25,34,2
10394.png,1.0,74,78,114,94,16,40,1
10395.png,1.0_4.0_1.0_1.0,2,11,16,38,27,14,4
10396.png,1.0_10.0_9.0_8.0,12,120,66,189,69,54,4
10397.png,8.0,5,37,21,43,6,16,1
10398.png,5.0,4,23,22,34,11,18,1
10399.png,2.0_7.0,5,26,30,47,21,25,2
104.png,1.0_10.0_4.0,12,67,89,148,81,77,3
1040.png,2.0_10.0,4,111,137,244,133,133,2
10400.png,1.0_5.0,4,34,36,54,20,32,2
10401.png,1.0_3.0,3,28,39,53,25,36,2
10402.png,5.0_3.0,33,96,67,132,36,34,2
10403.png,5.0,22,56,63,82,26,41,1
10404.png,1.0_2.0_6.0,53,102,91,146,44,38,3
10405.png,1.0_10.0_2.0,3,24,29,43,19,26,3
10406.png,6.0,4,26,28,43,17,24,1
10407.png,1.0_4.0,8,32,34,68,36,26,2
10408.png,2.0_9.0_4.0,1,13,23,48,35,22,3
10409.png,2.0_9.0,23,72,77,119,47,54,2
1041.png,1.0_5.0_8.0_10.0,14,47,53,126,79,39,4
10410.png,9.0,6,30,23,38,8,17,1
10411.png,3.0_6.0,28,79,74,117,38,46,2
10412.png,2.0_7.0_8.0,45,231,64,256,25,19,3
10413.png,1.0_6.0,2,20,24,39,19,22,2
10414.png,2.0_3.0,1,18,24,44,26,23,2
10415.png,1.0_4.0_1.0,5,23,26,46,23,21,3
10416.png,7.0_6.0,7,43,51,83,40,44,2
10417.png,2.0_10.0_8.0_2.0,1,29,37,85,56,36,4
10418.png,1.0_2.0_3.0,4,28,36,60,32,32,3
10419.png,3.0_5.0,18,94,100,207,113,82,2
1042.png,1.0_9.0_4.0,6,53,63,104,51,57,3
10420.png,6.0,5,27,34,40,13,29,1
10421.png,2.0_7.0,7,35,34,58,23,27,2
10422.png,9.0_5.0,13,59,68,120,61,55,2
10423.png,5.0_3.0,1,13,17,28,15,16,2
10424.png,2.0_3.0,5,18,17,34,16,12,2
10425.png,9.0_2.0_1.0,10,3,57,46,43,47,3
10426.png,2.0_9.0,3,14,20,29,15,17,2
10427.png,5.0,6,28,27,41,13,21,1
10428.png,8.0_7.0_8.0,13,45,38,75,30,25,3
10429.png,2.0_2.0,7,39,46,80,41,39,2
1043.png,9.0_8.0,7,48,49,80,32,42,2
10430.png,7.0,9,37,42,57,20,33,1
10431.png,4.0_9.0,2,16,19,30,14,17,2
10432.png,2.0_4.0_6.0,7,32,38,70,38,31,3
10433.png,5.0_2.0,17,88,99,195,107,82,2
10434.png,7.0_9.0,15,52,45,74,22,30,2
10435.png,1.0,8,66,74,86,20,66,1
10436.png,4.0_1.0,36,112,85,161,49,49,2
10437.png,7.0_9.0,3,26,28,42,16,25,2
10438.png,8.0_5.0,7,38,44,67,29,37,2
10439.png,1.0_7.0_1.0,8,63,73,177,114,65,3
1044.png,3.0_10.0_1.0,71,129,121,173,44,50,3
10440.png,6.0_1.0,3,31,32,49,18,29,2
10441.png,3.0_6.0,1,13,14,28,15,13,2
10442.png,1.0_5.0_4.0,1,20,30,48,28,29,3
10443.png,8.0_5.0,3,23,29,42,19,26,2
10444.png,1.0_1.0,1,25,31,50,25,30,2
10445.png,7.0_10.0_7.0,29,161,57,218,57,28,3
